,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,41.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,50.0,0.0,19.0,2.0,14.0,1.0,7.0,1.0,89.0
encog-cs.csv,104.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,18.0,2.0,17.0,0.0,35.0,1.0,2.0
extprosys.csv,104.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,5.0,0.0,4.0,0.0,62.0,2.0,39.0,0.0,35.0,1.0,1.0
freewrl.csv,28.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,0.0,13.0,0.0,9.0,0.0,89.0
fulguro.csv,104.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,56.0,3.0,0.0,62.0,0.0,13.0,0.0,8.0,49.0,0.0
geotools.csv,11.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,0.0,2.0,55.0,0.0,1.0,89.0
ibatisdb.csv,104.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,50.0,0.0,62.0,0.0,0.0,55.0,5.0,0.0,89.0
intact.csv,58.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,44.0,3.0,5.0,2.0,15.0,3.0,2.0
japano.csv,51.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,15.0,1.0,44.0,1.0,32.0,1.0,89.0
miranda-icq.csv,104.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,62.0,0.0,13.0,0.0,33.0,1.0,1.0
ofbiz.csv,104.0,0.0,0.0,0.0,7.0,17.0,1.0,0.0,2.0,2.0,1.0,50.0,0.0,1.0,0.0,7.0,0.0,3.0,2.0,89.0
opennms.csv,104.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,56.0,1.0,0.0,62.0,2.0,14.0,0.0,8.0,49.0,89.0
papertoolkit.csv,104.0,0.0,186.0,116.0,104.0,102.0,49.0,0.0,183.0,201.0,56.0,50.0,0.0,0.0,297.0,140.0,55.0,0.0,49.0,89.0
rohxel.csv,73.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,4.0,0.0,20.0,2.0,17.0,0.0,35.0,1.0,6.0
roolo.csv,104.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,1.0,2.0,21.0,2.0,29.0,1.0,2.0
sevenupdate.csv,68.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,14.0,4.0,2.0,4.0,0.0,9.0,2.0,17.0,1.0,3.0,1.0,2.0
soar.csv,104.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0,4.0,0.0,4.0,0.0,19.0,2.0,15.0,0.0,33.0,1.0,1.0
web-cat.csv,104.0,0.0,8.0,1.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,62.0,4.0,12.0,0.0,30.0,0.0,0.0
