,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.0,1.0,1.0,4.0,0.0,0.0,5.0,29.0,0.0,2.0,0.0,11.0,1.0,3.0,0.0
autowikibrowser.csv,12.0,3.0,5.0,114.0,0.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0
biodwh.csv,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0
cities3d.csv,0.0,2.0,5.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,52.0,5.0,2.0,5.0,106.0
dynalloy.csv,0.0,2.0,8.0,15.0,0.0,0.0,5.0,33.0,0.0,2.0,0.0,5.0,5.0,12.0,0.0
enzo.csv,0.0,1.0,7.0,49.0,3.0,11.0,13.0,0.0,0.0,0.0,0.0,2.0,14.0,14.0,1.0
genecys.csv,0.0,1.0,2.0,62.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,5.0,2.0,15.0,1.0
kmatplot.csv,1.0,3.0,3.0,41.0,0.0,2.0,6.0,0.0,0.0,126.0,1.0,2.0,5.0,7.0,0.0
modplug.csv,0.0,2.0,7.0,52.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,25.0,15.0,7.0,1.0
nabu-library.csv,0.0,1.0,8.0,432.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,85.0,3.0,82.0,0.0
natpad.csv,0.0,1.0,1.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0
nebuladevice.csv,3.0,0.0,6.0,99.0,0.0,1.0,8.0,1.0,1.0,1.0,52.0,0.0,4.0,6.0,106.0
ossbuild.csv,0.0,2.0,6.0,12.0,3.0,2.0,5.0,32.0,0.0,1.0,0.0,8.0,9.0,6.0,0.0
xemeiah.csv,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,17.0,0.0
xined.csv,155.0,142.0,1673.0,432.0,70.0,144.0,250.0,191.0,78.0,126.0,0.0,85.0,97.0,82.0,106.0
