,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.0,1.0,78.0,2.0,0.0,6.0,0.0,1.0,11.0,2.0,2.0,0.0,13.0,3.0,0.0,0.0,23.0,0.0,1.0,4.0
array4j.csv,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,5.0,70.0,0.0,36.0,54.0,93.0,0.0,0.0,6.0,1.0,0.0,3.0
bzbyte.csv,3.0,0.0,3.0,0.0,6.0,0.0,4.0,4.0,17.0,25.0,0.0,5.0,7.0,12.0,0.0,1.0,12.0,0.0,10.0,1.0
capcode.csv,0.0,0.0,8.0,0.0,0.0,3.0,1.0,3.0,14.0,5.0,64.0,9.0,5.0,93.0,0.0,0.0,74.0,0.0,5.0,1.0
fm-classic.csv,62.0,0.0,2.0,1.0,82.0,0.0,2.0,84.0,57.0,0.0,0.0,128.0,3.0,93.0,101.0,0.0,74.0,0.0,0.0,49.0
freenet.csv,0.0,0.0,6.0,4.0,8.0,0.0,0.0,3.0,10.0,16.0,2.0,1.0,9.0,7.0,0.0,0.0,20.0,2.0,11.0,0.0
hannosset.csv,2.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,57.0,70.0,1.0,3.0,54.0,93.0,101.0,55.0,0.0,0.0,4.0,1.0
haphazard.csv,0.0,0.0,3.0,1.0,7.0,5.0,4.0,1.0,10.0,70.0,0.0,128.0,54.0,4.0,0.0,0.0,74.0,0.0,9.0,0.0
intact.csv,1.0,2.0,4.0,2.0,20.0,2.0,0.0,1.0,2.0,7.0,1.0,6.0,1.0,9.0,0.0,0.0,12.0,3.0,1.0,1.0
ipfire-wall.csv,0.0,0.0,4.0,0.0,9.0,0.0,1.0,2.0,15.0,23.0,0.0,10.0,0.0,16.0,0.0,0.0,4.0,0.0,3.0,0.0
jlinalg.csv,0.0,0.0,5.0,0.0,0.0,1.0,9.0,3.0,13.0,21.0,0.0,11.0,10.0,43.0,0.0,1.0,10.0,2.0,2.0,1.0
nassp.csv,0.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,17.0,0.0,3.0,2.0
ondex.csv,1.0,0.0,0.0,0.0,9.0,2.0,0.0,5.0,57.0,70.0,2.0,1.0,4.0,93.0,0.0,3.0,7.0,0.0,0.0,2.0
optalgtoolkit.csv,0.0,0.0,8.0,0.0,11.0,3.0,4.0,4.0,14.0,19.0,7.0,9.0,13.0,7.0,0.0,0.0,6.0,1.0,10.0,1.0
pustefix.csv,0.0,0.0,5.0,6.0,0.0,2.0,1.0,0.0,57.0,15.0,3.0,5.0,54.0,93.0,0.0,0.0,74.0,3.0,2.0,1.0
soar.csv,0.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,14.0,28.0,2.0,5.0,17.0,11.0,0.0,0.0,16.0,0.0,1.0,4.0
sqlpower-library.csv,0.0,0.0,16.0,0.0,0.0,3.0,6.0,3.0,28.0,23.0,0.0,5.0,8.0,10.0,0.0,0.0,15.0,2.0,2.0,2.0
super-tux.csv,0.0,0.0,5.0,0.0,23.0,2.0,5.0,4.0,18.0,29.0,0.0,5.0,8.0,12.0,0.0,0.0,19.0,0.0,2.0,1.0
tart.csv,1.0,2.0,78.0,49.0,4.0,2.0,2.0,2.0,57.0,70.0,2.0,128.0,1.0,0.0,0.0,0.0,74.0,1.0,7.0,0.0
web-cat.csv,0.0,2.0,4.0,1.0,0.0,2.0,0.0,3.0,7.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,10.0,1.0,3.0,0.0
