,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,10.0,6.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,0.0
flylegacy.csv,2.0,5.0,0.0,2.0,1.0,3.0,14.0,0.0,2.0,0.0
jguard.csv,5.0,2.0,1.0,3.0,1.0,0.0,5.0,2.0,2.0,0.0
m-a-d-n-e-s-s.csv,3.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0
mob-sen-plat.csv,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,15.0,2.0
raygina.csv,0.0,3.0,4.0,4.0,0.0,9.0,3.0,0.0,6.0,2.0
st-filteredstatistics.csv,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
upp-mirror.csv,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0
wishmaster.csv,9.0,5.0,2.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0
yarp.csv,4.0,52.0,0.0,1.0,0.0,1.0,3.0,0.0,84.0,0.0
