,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,1.0,0.0,1.0,19.0,1.0
bibletime.csv,0.0,0.0,0.0,0.0,2.0,12.0,5.0,1.0,0.0,2.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,17.0,3.0
critterding.csv,0.0,0.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,3.0,0.0,0.0,18.0,7.0,5.0,0.0,1.0,0.0,18.0,2.0
etics.csv,2.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,11.0,5.0,9.0,0.0,0.0,1.0,3.0,1.0
fmri-dmt.csv,0.0,0.0,2.0,0.0,1.0,4.0,95.0,0.0,0.0,145.0,0.0,1.0,0.0,51.0,0.0,0.0,2.0,0.0,49.0,0.0
genecys.csv,0.0,1.0,0.0,0.0,1.0,6.0,13.0,1.0,0.0,4.0,0.0,0.0,24.0,4.0,6.0,1.0,5.0,1.0,25.0,3.0
genoviz.csv,0.0,1.0,0.0,0.0,0.0,2.0,95.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
kftpgrabber.csv,1.0,2.0,4.0,3.0,0.0,13.0,5.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,2.0,2.0
kvs.csv,0.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,1.0,7.0,0.0,4.0,0.0,2.0,1.0
mcore3d.csv,0.0,2.0,6.0,0.0,0.0,2.0,8.0,2.0,0.0,5.0,0.0,2.0,3.0,2.0,19.0,0.0,5.0,5.0,20.0,1.0
miranda.csv,0.0,2.0,0.0,0.0,0.0,5.0,19.0,1.0,0.0,18.0,2.0,3.0,13.0,1.0,5.0,0.0,2.0,1.0,20.0,0.0
modplug.csv,0.0,2.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,3.0,2.0,0.0,9.0,1.0,16.0,0.0,3.0,1.0,20.0,0.0
monetdb.csv,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,3.0,0.0
netatalk.csv,0.0,2.0,2.0,1.0,1.0,7.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,11.0,0.0,1.0,1.0,22.0,0.0
ogrehg.csv,0.0,1.0,1.0,0.0,1.0,6.0,10.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,15.0,1.0,0.0,1.0,18.0,1.0
passwordsafe.csv,0.0,1.0,3.0,0.0,0.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,39.0,0.0,0.0,1.0,8.0,2.0
projecteqemu.csv,3.0,0.0,2.0,2.0,1.0,12.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,19.0,1.0
reactos-mirror.csv,0.0,1.0,0.0,0.0,0.0,9.0,11.0,1.0,0.0,2.0,0.0,0.0,20.0,1.0,5.0,0.0,0.0,0.0,13.0,3.0
xbplayer.csv,0.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0
xmoto.csv,6.0,1.0,0.0,0.0,0.0,11.0,13.0,1.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,22.0,1.0
